n_friend_index,n_friend_name,n
745,18nh_00030789,5
746,18nh_00031324,4
746,18nh_00031324,5
747,18nh_00036377,4
747,18nh_00036377,5
748,18nh_00038997,4
748,18nh_00038997,5
749,18nh_00040696,4
749,18nh_00040696,5
750,18nh_00042237,4
750,18nh_00042237,5
751,18nh_00051081,4
751,18nh_00051081,5
752,18nh_00051604,4
752,18nh_00051604,5
753,18nh_00052891,4
753,18nh_00052891,5
754,18nh_00055443,4
754,18nh_00055443,5
757,18nh_00061316,4
757,18nh_00061316,5
760,18nh_00065126,4
760,18nh_00065126,5
761,18nh_00066181,4
761,18nh_00066181,5
762,18nh_00066182,4
762,18nh_00066182,5
763,18nh_00067017,4
763,18nh_00067017,5
764,18nh_00067490,4
764,18nh_00067490,5
765,18nh_00067847,4
765,18nh_00067847,5
768,18nh_00073163,4
768,18nh_00073163,5
769,18nh_00074046,4
769,18nh_00074046,5
770,18nh_00075822,4
770,18nh_00075822,5
771,18nh_00077144,4
771,18nh_00077144,5
773,18nh_00081450,4
773,18nh_00081450,5
774,18nh_00088477,4
774,18nh_00088477,5
775,18nh_00096511,4
775,18nh_00096511,5
776,18nh_00096987,4
776,18nh_00096987,5
777,18nh_00097301,4
777,18nh_00097301,5
778,18nh_00097922,4
778,18nh_00097922,5
779,18nh_00098198,4
779,18nh_00098198,5
780,18nh_00099060,4
780,18nh_00099060,5
781,18nh_00108137,4
781,18nh_00108137,5
782,18nh_00108898,4
782,18nh_00108898,5
783,18nh_00113838,4
783,18nh_00113838,5
785,18nh_00120886,4
785,18nh_00120886,5
787,18nh_00124611,4
787,18nh_00124611,5
789,18nh_00129203,4
789,18nh_00129203,5
790,18nh_00132847,4
790,18nh_00132847,5
791,18nh_00132857,4
791,18nh_00132857,5
792,18nh_00134643,4
792,18nh_00134643,5
793,18nh_00136126,4
793,18nh_00136126,5
794,18nh_00136211,4
794,18nh_00136211,5
795,18nh_00136855,4
795,18nh_00136855,5
798,18nh_00140533,4
798,18nh_00140533,5
799,18nh_00140535,4
799,18nh_00140535,5
801,18nh_00143610,4
801,18nh_00143610,5
802,18nh_00147213,4
802,18nh_00147213,5
803,18nh_00147647,4
803,18nh_00147647,5
804,18nh_00151808,4
804,18nh_00151808,5
805,18nh_00152853,4
805,18nh_00152853,5
806,18nh_00152980,4
806,18nh_00152980,5
807,18nh_00158620,4
807,18nh_00158620,5
809,18nh_00163605,4
809,18nh_00163605,5
810,18nh_00166163,4
810,18nh_00166163,5
811,18nh_00168247,4
811,18nh_00168247,5
812,18nh_00171145,4
812,18nh_00171145,5
813,18nh_00171653,4
813,18nh_00171653,5
815,18nh_00173947,4
815,18nh_00173947,5
817,18nh_00180965,4
817,18nh_00180965,5
820,18nh_00182176,4
820,18nh_00182176,5
823,18nh_00183895,4
823,18nh_00183895,5
824,18nh_00191064,4
824,18nh_00191064,5
825,18nh_00193248,4
825,18nh_00193248,5
826,18nh_00193249,4
826,18nh_00193249,5
828,18nh_00210803,4
828,18nh_00210803,5
830,18nh_00216333,4
830,18nh_00216333,5
832,18nh_00225255,4
832,18nh_00225255,5
834,18nh_00244364,4
834,18nh_00244364,5
836,18nh_00253487,4
836,18nh_00253487,5
837,18nh_00257422,4
837,18nh_00257422,5
838,18nh_00257425,4
838,18nh_00257425,5
840,18nh_00264658,4
840,18nh_00264658,5
842,18nh_00270645,4
